Coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
@1,,18.35805774074074,0.0,0.1797798333333335,
@10,-0.031742,,0.0,0.0,
@100,,6.9067855,,,
@103,,6.812669,,2.2473455,
@107,-89.5887875576037,191.1582114651543,-2.2912565496155253,86.25176302214813,52.15010709216152
@109,,0.9092509999999999,0.0,416.2189364615385,0.510213
@11,,,0.0,,
@112,,-13.289846599999999,,7.1672545,
@113,,5.165235666666667,,0.7152565,
@114,,,,0.6545385,
@116,,0.083239,,0.736616,
@117,,0.0,,2.3158445,
@12,,0.0,,0.0,
@123,,0.0,,,
@124,,-16.0754845,,,
@125,,20.636525260869565,,-17.395919000000003,
@13,-0.061895,,0.0,,
@135,,-5981.36399,,,
@138,,,15.71019,,9.765152
@14,,,0.0,,
@142,15.529335370370372,,1.8444869280000005,1.6774342015037595,14.747182207667732
@147,,,,-70.1265388,
@15,,,0.0,,
@151,,,-1.4904160666666668,39.960670965635735,0.0
@152,,,0.006818159090909091,,
@153,,,0.020609892857142854,0.47452041095890407,0.0
@16,-0.0302145,,0.0,0.0,
@17,,,,0.0,
@18,,,,0.0,
@19,,,,0.0,
@2,,-0.453973,,0.0,
@20,,,0.0,0.0,0.22562323809523807
@21,,,,0.0,
@23,,,0.0,0.0,0.0
@24,,-0.001468,,0.0,
@25,,,,0.0,
@26,-0.032252249999999996,,0.0,0.0,
@28,,,0.0,,0.0
@29,-0.0195935,,0.0,0.0,
@3,,,0.0,,0.03854283333333333
@30,,,0.0,,
@31,,16.6061365,,0.0,
@32,,,,0.0,
@33,,4.522309666666667,,0.0,
@34,,,,0.0,
@35,33.5140635,,0.0,0.0,
@36,,7.8315365,,0.0,
@37,,32.075795666666664,0.0,3.3923466666666666,
@38,33.271993,,0.0,,0.0
@39,12.238556,,0.0,,
@4,-13.8107095625,5.794838525,6.795691004166667,0.0,-3.246641041825095
@40,16.748319,-0.656948,0.0,,
@41,36.73844,,0.0,0.0,0.0
@42,,,,,0.0
@44,,,0.0,0.0,0.0
@45,,,0.0,,
@46,,,0.0,,
@47,25.156729,,0.0,0.0,
@48,,,0.0,,
@49,-10.178054249999999,,0.0,,
@51,0.0,-1.33010825,-3.793198855263158,-2.070723888888889,0.0
@53,,16.2721895,0.0,35.320328,
@59,,57.49353907142857,0.0,159.2905509090909,0.0
@6,,,,0.0,
@61,,,0.0,,
@63,,,,-10.331773,
@68,,0.0,,,
@7,,,,0.0,
@74,,53.09046414285714,,,0.0
@78,,,0.0,0.0,0.0
@8,1.4323124999999999,-0.1468875,0.8465517348484849,0.0,0.0
@83,,0.0,,-7.1406081666666665,-348.26323533333334
@85,,291.81915292307696,0.0,279.18129885185186,0.0
@86,,0.0,,,
@9,,-29.2824445,,,0.0
@93,,,,7.977398,
@95,,-14.7190305,,,
AAVE,0.0,40.82326403017242,21.9679710625,3.370490408450704,-106.18842909433963
ACE,,110.4285964,,,
ADA,-182.08131859302324,5.530399550943396,14.167630808333334,1.723159090909091,1.5306538461538464
AI,0.0,-0.27304933333333337,1.8634917999999998,3.482036235294118,0.0
AI16Z,99.000812,9.748858268085106,50.199810794871794,23.24016665671642,-9.829987666666668
AIXBT,0.0,7.42062374117647,76.79442265925925,125.28921595624999,124.94810621590909
ALGO,,7.30256,,-0.0621,4.0068
ALT,,13.370768660377356,18.256248157894735,24.289917837837837,35.753719076923076
ANIME,4.225193333333333,33.46367171608833,5.249987777777778,30.073953000000003,-7.893111899999999
APE,0.7764197,20.255060463157896,3.555797509090909,11.942590462046205,3.5071727692307695
APT,0.0,5.1466096875,31.175798874999998,0.0,5.714354
AR,,15.644784615384614,,,
ARB,14.8265679,4.446950857142857,797.0925143636364,6.160784168674699,5.4958008666666665
ARK,,6.53457,0.9695270714285715,-6.5239375,
ATOM,,1.1589624210526315,,0.0,0.15312
AVAX,10.324872285714285,2.09846076119403,7.45803752,262.96847423913044,1610.9123447727272
BABY,,,32.909933333333335,,
BADGER,,0.309638,,7.615997857142857,
BANANA,,,,-11.640741142857143,0.0
BERA,64.31332038829787,,-0.08131295294117644,202.04748907281552,-189.6234801754386
BIGTIME,,54.05952379310345,,12.953008571428573,-1.1952
BIO,,2.48414375,,7.892833975308642,
BLAST,,9.712390274509804,,19.427002428571427,1.065303
BLUR,,6.758981371428571,6.369572,89.91723323529412,6.88275175
BNB,22.87815590909091,1.9969951666666665,-10.237245694444445,0.20891258064516116,26.659105263157894
BNT,,-1.760528,,,
BOME,,21.37104,,0.0,-3.040979333333333
BRETT,,7.3061066384615385,,0.4027428571428571,2.8551
BTC,1.7319208572237954,41.4132639954844,48.90067315663627,15.949612092403314,34.92117517925521
CAKE,,32.96646338461539,,0.0,14.494700658536585
CANTO,,,,-18.849813000000005,
CHILLGUY,,26.559158649425285,9.029051666666666,0.6049995172413792,6.8743155555555555
COMP,,17.209106860465116,148.26831488888888,,
CRV,,,-0.40078783199999996,-92.27877123076922,
CYBER,,191.5296,,0.0,
DOGE,0.0,42.5337740204499,658.94759225,10.659519873239436,2969.4734945384616
DOT,,1.9254374772727274,,3.9853533599999995,1.826962
DYDX,0.0,13.3861408,1.0434446875,0.27415933333333337,1.5766046666666667
DYM,,-127.97342549999999,,24.871337999999998,2.884062
EIGEN,,4.171146084507042,295.63191117777774,45.42007123857868,1.046983
ENA,120.34889231578946,65.02467202319588,830.6540607046632,92.78104470958904,-174.7205272
ENS,,,,-1.7803399999999998,
ETC,,83.3618,,0.0,19.16244
ETH,196.92766022254128,-20.75892793231225,236.86476378421054,98.21936567263569,46.75329430372057
ETHFI,,0.0,138.47867434615384,219.0964035323741,76.37912525714286
FARTCOIN,-244.27275434867258,21.30144864467005,-11.368853384858044,18.718422684162896,-3.060023220754717
FET,,20.94322857142857,8.52665,1.6377375,
FIL,,,,-7.055718000000001,
FTM,,85.7453980617284,,-9.738456000000001,0.0008686
FTT,37.156913304347825,2.7938068987783597,26.669027808510638,2.7274699964157705,11.469583925
FXS,,1.1101225384615385,,-2.0105719733333336,
GALA,,5.83045808,9.394362,0.5896742727272728,4.367143666666666
GAS,,,,,30.30695
GMT,1.544824,3.617634692307692,4.78001692,0.23478523809523813,3.8157840000000003
GMX,47.87775307692308,1.0851810175438596,,0.0,1.0834004285714285
GOAT,14.905763333333333,86.65039076086956,,13.858575000000002,15.5193
GRASS,15.24201538235294,1.4276074833333334,1.5238564210526315,1.6642980408163266,4.1311236
GRIFFAIN,-94.52310675,15.36519072826087,18.194373533333334,16.207949352941178,-10.51233470689655
HBAR,,9.726572857142857,,2.3712373454545457,8.85375
HPOS,,-33.94726373076923,,31.182600193181816,10.717960909090909
HYPE,46.904437527631835,28.098989355797993,30.06355240155987,24.569011680455016,17.32280311140614
HYPER,,,,28.208829032258066,
ILV,,46.74189061764706,,9.66917825,-0.04207
IMX,,1.9509583333333333,,29.104531249999997,4.30904
INIT,,,,11.758087096774194,
INJ,,23.02509423809524,,94.331766375,
IO,0.03682,-3.3026596666666665,0.0,-77.39447337010677,4.679384444444445
IOTA,,,,-0.350692,
IP,25.9612,,5.344952963855421,,7.65783456
JELLY,38.78287448192771,74.78081631944444,26.861150227765727,78.44149808823529,14.747853716666667
JTO,4.817301333333334,0.0,5.619,103.51137773170731,-25.382038795454545
JUP,1.9390933333333333,8.725789855018586,-42.15040910447761,150.11833192361112,12.230165636363637
KAITO,49.26165120952381,,-97.38923908496731,0.8437969328358209,20.462103558139535
LAYER,,,88.51677852348993,0.0,51.100944755244754
LDO,0.0,2.8148716166666667,2.4420048,0.7377874285714285,9.545118444444444
LINK,0.0,0.9901654054054054,57.78675962121213,3.7234578625954198,4.858741512820513
LISTA,,,,,2.23487
LOOM,,107.5285275,,,0.0
LTC,0.0,15.237197132075472,316.43138000000005,1.7449084615384616,5.47719
MANTA,,14.985301333333332,,19.991965555555552,
MATIC,,114.4450845,,-8.220988633333333,
MAV,,,,,0.00945
MAVIA,,112.59726500000001,40.06217865,26.507348914285714,10.57011431060606
ME,,1.01167325,76.98959780000001,35.11583722077922,-25.218051969230768
MELANIA,218.3389399058296,-70.39914285338345,99.16832457783376,59.74857865475223,82.596900092
MEME,,50.29293681690141,-8.262227214285714,46.61461672222222,40.7524965
MERL,,,,-1.58682,
MEW,,3.1181253333333334,,0.0,4.398952
MINA,,,,24.8380625,
MKR,3.6856715384615386,,53.338284,0.2392349090909091,0.8470147142857143
MNT,,-2.632147125,,,
MOODENG,,165.81321867010308,4.248723,11.354606833333333,3.420525
MORPHO,2.530602,13.2188331,,,
MOVE,,5.68415,31.254018294117646,-3.518914566666667,0.10042360000000002
MYRO,,3.9381946153846155,,0.0,2.28114
NEAR,,68.88272458823529,,31.56630973529412,1.6059750000000002
NEIROETH,,34.161578,,0.0,
NIL,,,,,-14.049883340707964
NTRN,,15.8068195,,15.254354902777777,26.75845885714286
OGN,,,,,6.793288457364341
OM,0.0,,4.2528486800000005,,-67.80042615384615
ONDO,0.0,22.29301884818482,12.850544047528517,53.139537999999995,2.8180218275862066
OP,1.5649133333333332,36.49239496969697,95.90256220689656,0.5733316363636364,3.167872423076923
ORDI,,1.4359136799999999,,4.549698571428571,
PAXG,1.1548158274509805,,-0.46070850574712646,,-81.70532429613735
PENDLE,-9.03731672,10.045066935779817,12.718033527439026,3.5418962319999996,9.858052403508772
PENGU,0.0,4.166716381987578,-16.98377384782609,13.90658794736842,11.642146922330097
PEOPLE,,360.646005,,,0.0
PIXEL,,19.45,,13.527800000000001,
PNUT,1855.649224,31.4077196875,,19.17567395151515,98.4738976
POLYX,,44.15240592857143,,,
POPCAT,0.0,3.183741285714286,16.560698947368422,-17.81563021415608,-0.08106288347457612
PROMPT,,,6.179157848101266,55.14337963888889,-9.533896
PURR,15.190076727272725,31.490535888501746,25.8415540308642,10.521786917460316,7.522074455882353
PURR/USDC,-62.336246700000004,52.369316495270276,0.2534575828571428,17.628207315294116,-65.0103807037037
PYTH,,18.646396,0.0,19.28565762068965,8.022604783783784
RENDER,0.436749,25.926644862745096,41.45246371428571,4.332481578947369,5.2087433333333335
REQ,,,0.2603861052631579,,
REZ,,,5.824474285714286,,
RLB,,,,37.973868,0.0
RNDR,,75.1703994509804,,77.861057488,
RSR,,0.8839186666666666,6.158762153846154,,
RUNE,65.14000813559322,14.27572389041096,0.8589799999999999,7.301237423076922,5.5197296
S,-149.02233766233766,,44.95363682539683,,-0.5512095
SAND,0.9716528571428571,11.638740835051548,10.916240447368422,12.208999255319148,5.564899625000001
SCR,,50.40548,,,
SEI,,0.0008625,835.6,-13.182595914285713,16.7189121192053
SHIA,,,,91.18954766666667,0.0
SOL,56.00612583173589,19.71559259749085,189.47222430454778,284.7982433650693,216.69728189285715
SPX,,2.422044814814815,146.943567,71.22910104081632,
STG,,,,25.649108571428574,
STRK,,3.0960298214285715,,-89.37833333333333,2.372575
STX,0.0,21.03960419178082,,23.997442999999997,0.0
SUI,179.87546847791162,52.9675914715262,82.17029110691824,115.49722473295455,37.19742234408602
SUPER,,20.992058,,1.0130062857142856,3.5574000000000003
SUSHI,,4.056755126582279,,13.253027047619046,1.1074503333333332
TAO,0.0,26.25546937234043,81.02996958940398,3.2258607948369566,-3.0213093488372094
TIA,,16.012555162337662,239.3231720588235,42.42822885344828,-139.0609798888889
TNSR,0.0,4.591014323383085,4.38876215,12.240934160493827,7.629029384615385
TON,,-0.00655417391304349,,-2.563994857142857,
TRUMP,174.79581845303866,-5.754950804444446,42.80646971945701,-848.8526202254902,59.706686178041544
TRX,,8.377018799999998,,,
TST,,,,-2.6447600447761195,36.073400938775514
TURBO,,155.58123385714288,,26.960278970588234,
UNI,6.6825,-2.0939662631578946,9.605006666666666,11.599348592592593,2.834048
UNIBOT,,,,81.26394225,
USTC,,0.29030771739130434,,129.808683,36.8608245
USUAL,-75.39452322857143,27.508890229787234,488.2245036382979,87.34538134545456,49.79107914285714
VINE,,0.9819216,6.487571286764706,0.4461342828282828,6.735317182136602
VIRTUAL,29.44068303030303,72.13034013963964,67.81677225454546,-10.50629588888889,1.6670846000000001
VVV,,,34.531530034482756,42.80631576923077,15.232580046511629
W,,0.904556171779141,27.3672775,4.686170107692308,6.4333469999999995
WCT,,,32.589900425531916,,
WIF,0.0,72.089824,-237.6318999285714,7.508153,6.6161384375
WLD,4.874022,26.607149565079368,15.255353633333334,7.571789781598514,-22.8788244180791
XAI,,134.276725875,,,
XRP,-14.746725470443353,-0.09942650000000003,55.88491554477612,4.573773357142857,9.3979725
YGG,0.0,6.0024768,54.78004777777778,0.7160592727272728,9.913695
ZEN,,,,-49.17969023333333,
ZEREBRO,82.017888,55.41531606896552,12.70570265079365,28.364974631336406,11.364621554817276
ZETA,,15.749147904458598,,27.39074772151899,-1.5426433333333334
ZK,,1.96022186,,0.27426666666666666,
ZORA,,,,44.84547914473684,
ZRO,0.0,44.87893625,67.2718554117647,124.83984987239585,1446.8952208
kBONK,,50.27464945479451,24.736832833333334,-2.7242591226415094,0.8968721241379308
kFLOKI,,50.21681332258065,,15.543653999999998,4.08395
kNEIRO,,,,2.0399362500000002,-2.840308
kPEPE,0.23060041666666667,22.337975618996797,31.460104487012984,-14.880395993576018,-0.9510264875000001
kSHIB,0.0,8.83221,13.644264,0.0,0.5267
